Date,Open,High,Low,Close,Volume,Adj Close
2010-01-01,748.8,748.8,748.8,748.8,0,681.7769999999999
2010-01-04,754.8,758.9,749.05,752.25,981800,684.919
2010-01-05,755.0,759.55,746.55,748.7,1007200,681.686
2010-01-06,751.85,752.2,733.0,737.0,1674500,671.034
2010-01-07,735.5,739.4,711.0,711.85,3237400,648.135
2010-01-08,716.0,718.5,696.5,696.5,3024000,634.159
2010-01-11,704.0,720.1,700.4,718.0,2159200,653.734
2010-01-12,732.0,754.0,727.0,748.0,4513800,681.049
2010-01-13,745.0,796.4,744.65,788.8,5455100,718.197
2010-01-14,798.45,798.45,769.35,780.5,5163800,710.64
2010-01-15,796.0,799.6,772.25,795.05,3972500,723.888
2010-01-18,800.0,829.0,793.0,800.6,3630500,728.941
2010-01-19,802.2,802.2,778.65,781.3,2577400,711.368
2010-01-20,781.3,781.3,781.3,781.3,0,711.368
2010-01-21,781.3,781.3,781.3,781.3,0,711.368
2010-01-22,781.3,781.3,781.3,781.3,0,711.368
2010-01-25,781.3,781.3,781.3,781.3,0,711.368
2010-01-26,781.3,781.3,781.3,781.3,0,711.368
2010-01-27,781.3,781.3,781.3,781.3,0,713.194
2010-01-28,781.3,781.3,781.3,781.3,0,713.194
2010-01-29,781.3,781.3,781.3,781.3,0,713.194
2010-02-01,781.3,781.3,781.3,781.3,0,713.194
2010-02-02,781.3,781.3,781.3,781.3,0,713.194
2010-02-03,781.3,781.3,781.3,781.3,0,713.194
2010-02-04,781.3,781.3,781.3,781.3,0,713.194
2010-02-05,735.0,735.0,716.6,723.5,2303500,660.433
2010-02-08,729.0,734.75,708.15,724.15,2085100,661.0260000000001
2010-02-09,725.0,741.95,721.05,735.15,1502900,671.067
2010-02-10,739.9,743.7,728.1,732.3,1168600,668.465
2010-02-11,737.95,747.95,735.0,742.7,1206500,677.959
2010-02-12,742.5,742.5,742.5,742.5,0,677.7760000000001
2010-02-15,750.0,750.0,738.55,746.15,978200,681.1080000000001
2010-02-16,747.25,764.95,742.2,758.15,830200,692.062
2010-02-17,764.9,767.95,752.55,758.65,1264100,692.5189999999999
2010-02-18,760.0,766.95,755.5,758.8,907400,692.655
2010-02-19,754.9,759.5,745.8,750.55,1107900,685.125
2010-02-22,757.0,763.7,753.8,757.25,1071700,691.2410000000001
2010-02-23,759.0,765.0,751.25,762.1,926500,695.668
2010-02-24,756.0,770.7,752.1,765.35,2038000,698.6339999999999
2010-02-25,769.8,769.8,761.25,766.25,1336400,699.456
2010-02-26,767.1,778.55,746.15,761.8,1507900,695.3939999999999
2010-03-01,760.2,760.2,760.2,760.2,0,693.933
2010-03-02,762.0,769.0,755.0,763.2,2026600,696.672
2010-03-03,769.0,774.0,764.15,768.75,1377300,701.738
2010-03-04,768.0,770.0,757.0,763.9,1026800,697.311
2010-03-05,765.0,766.95,760.15,762.6,643600,696.1239999999999
2010-03-08,767.6,770.0,760.3,762.7,1507800,696.215
2010-03-09,763.0,778.5,763.0,768.7,1728800,701.692
2010-03-10,763.7,784.45,760.0,780.05,2293900,712.053
2010-03-11,780.05,794.9,771.95,791.6,1607000,722.596
2010-03-12,800.0,800.0,792.0,796.95,1255400,727.48
2010-03-15,796.95,820.0,791.15,818.0,3027200,746.695
2010-03-16,821.5,831.95,815.8,829.0,1544400,756.7360000000001
2010-03-17,834.0,845.9,830.0,840.7,2087300,767.416
2010-03-18,845.0,845.0,820.5,825.85,1862200,753.8610000000001
2010-03-19,805.25,834.45,805.25,820.9,2358300,749.342
2010-03-22,814.9,833.8,806.15,827.6,1655000,755.4580000000001
2010-03-23,830.0,833.0,822.1,828.65,847400,756.4169999999999
2010-03-24,828.3,828.3,828.3,828.3,0,756.097
2010-03-25,824.1,836.8,818.0,829.8,2758700,757.466
2010-03-26,830.0,836.0,822.3,825.05,998900,753.13
2010-03-29,824.0,829.3,808.55,811.95,1721600,741.172
2010-03-30,808.6,816.1,797.15,800.0,1548500,730.2639999999999
2010-03-31,800.0,807.25,777.3,780.65,3541500,712.6010000000001
2010-04-01,786.35,809.8,782.1,807.8,2890700,737.3839999999999
2010-04-02,808.0,808.0,808.0,808.0,0,737.567
2010-04-05,817.0,817.0,799.25,803.35,1500900,733.322
2010-04-06,808.9,808.9,792.15,796.05,1851100,726.658
2010-04-07,790.0,809.0,781.15,798.05,1512200,728.4839999999999
2010-04-08,796.0,807.5,790.0,799.45,2247200,729.762
2010-04-09,802.0,807.9,788.25,791.6,1509000,722.596
2010-04-12,791.0,800.0,790.1,798.1,1434900,728.53
2010-04-13,800.0,823.8,787.25,820.7,4199200,749.16
2010-04-14,820.7,820.7,820.7,820.7,0,749.16
2010-04-15,822.0,834.9,819.05,821.7,2145400,750.072
2010-04-16,819.0,828.0,811.85,815.1,1905400,744.048
2010-04-19,810.0,825.0,800.75,811.95,3473800,741.172
2010-04-20,825.0,832.65,787.0,789.5,6008400,720.679
2010-04-21,795.0,799.0,780.25,785.0,3553700,716.572
2010-04-22,789.1,793.65,781.0,785.95,2375500,717.439
2010-04-23,788.05,792.0,777.5,780.2,2153000,712.19
2010-04-26,786.0,791.0,780.2,785.1,1256200,716.663
2010-04-27,785.95,789.9,781.05,787.3,1310600,718.671
2010-04-28,780.0,783.95,765.0,770.3,1200100,703.153
2010-04-29,775.1,775.25,755.6,759.75,2311400,693.523
2010-04-30,765.0,772.8,762.55,765.4,1845100,698.68
2010-05-03,761.25,771.4,754.1,766.8,1208200,699.9580000000001
2010-05-04,774.85,774.85,756.8,761.0,1448000,694.664
2010-05-05,750.0,768.0,740.15,765.75,2185600,699.0
2010-05-06,767.95,770.9,759.2,767.1,1290400,700.232
2010-05-07,757.0,762.6,735.0,741.4,2133500,676.7719999999999
2010-05-10,760.0,843.0,745.0,770.25,1163900,703.107
2010-05-11,775.0,779.0,753.9,756.3,675600,690.373
2010-05-12,757.0,767.95,751.1,759.45,1370000,693.2489999999999
2010-05-13,765.1,773.2,761.45,765.6,660700,698.863
2010-05-14,766.0,777.0,755.0,763.85,1013400,697.265
2010-05-17,774.95,774.95,734.1,745.75,1861000,680.743
2010-05-18,746.0,746.0,726.3,735.1,1599500,671.0210000000001
2010-05-19,730.0,733.0,716.3,721.5,1964600,658.607
2010-05-20,729.0,732.3,716.15,730.0,1199000,666.3660000000001
2010-05-21,710.0,725.9,685.25,718.7,1337500,656.051
2010-05-24,725.0,730.0,712.7,717.6,1442700,655.047
2010-05-25,708.0,714.0,691.55,699.55,1148600,638.57
2010-05-26,708.0,744.8,704.1,738.0,1844700,673.669
2010-05-27,735.0,749.95,727.2,741.85,3441900,677.183
2010-05-28,749.8,753.5,735.5,750.8,1239600,685.3530000000001
2010-05-31,748.5,752.9,738.0,743.05,1663800,678.278
2010-06-01,743.05,751.95,734.7,739.2,1568400,674.7639999999999
2010-06-02,737.8,759.5,736.3,754.25,1384600,688.502
2010-06-03,760.0,769.0,745.1,765.45,842200,698.7260000000001
2010-06-04,765.45,769.7,755.2,765.35,684100,698.6339999999999
2010-06-07,749.9,757.8,736.0,753.25,867400,687.5889999999999
2010-06-08,754.0,762.0,747.0,750.2,1121100,684.805
2010-06-09,752.0,758.55,731.0,733.05,2433700,669.15
2010-06-10,730.0,753.0,730.0,750.5,898000,685.079
2010-06-11,761.8,763.3,751.0,759.1,1618500,692.929
2010-06-14,763.35,787.1,758.0,781.0,1775200,712.92
2010-06-15,756.65,777.7,756.65,766.1,1321400,708.3889999999999
2010-06-16,777.1,779.95,767.3,774.8,1164400,716.434
2010-06-17,777.0,784.8,763.7,775.3,764400,716.8960000000001
2010-06-18,775.3,788.9,772.25,783.2,1112800,724.201
2010-06-21,792.9,794.0,784.6,787.7,953700,728.362
2010-06-22,785.0,786.5,773.3,778.65,734100,719.9939999999999
2010-06-23,770.0,788.95,769.85,786.3,1479700,727.068
2010-06-24,786.3,788.5,767.7,773.45,1888700,715.186
2010-06-25,775.8,775.8,756.1,758.5,1018600,701.362
2010-06-28,758.45,767.15,757.6,764.75,576500,707.1410000000001
2010-06-29,765.0,765.0,749.0,753.8,1307300,697.0160000000001
2010-06-30,755.0,759.9,741.25,751.0,1658200,694.427
2010-07-01,750.0,750.0,725.75,732.0,1703800,676.8580000000001
2010-07-02,734.8,746.0,730.85,743.8,1471700,687.7689999999999
2010-07-05,748.8,748.9,737.1,739.0,1082700,683.331
2010-07-06,736.5,761.9,735.85,759.15,1380400,701.9630000000001
2010-07-07,761.4,767.4,748.95,764.6,1076400,707.002
2010-07-08,772.0,779.0,769.65,776.8,1093700,718.283
2010-07-09,780.0,784.0,770.75,774.45,918300,716.11
2010-07-12,779.8,794.0,779.8,791.7,1362800,732.061
2010-07-13,792.0,792.0,769.55,774.65,2772900,716.295
2010-07-14,778.0,784.7,770.25,774.65,1416900,716.295
2010-07-15,771.0,784.9,765.25,782.1,1897700,723.184
2010-07-16,795.0,838.5,795.0,833.65,9567700,770.8510000000001
2010-07-19,831.45,834.7,823.25,826.7,1513900,764.424
2010-07-20,826.7,834.55,825.0,827.25,1171000,764.933
2010-07-21,832.0,844.8,829.6,843.0,1471800,779.4960000000001
2010-07-22,843.0,846.0,832.5,843.7,681400,780.1439999999999
2010-07-23,850.0,850.0,835.1,839.3,947200,776.075
2010-07-26,842.4,851.6,840.4,849.25,1383200,785.2760000000001
2010-07-27,855.0,859.8,846.2,849.15,1053300,785.183
2010-07-28,851.0,857.95,847.0,854.45,2179600,790.084
2010-07-29,855.0,855.0,849.0,850.0,2665900,787.813
2010-07-30,849.0,850.0,835.0,839.8,641700,778.3589999999999
2010-08-02,843.0,848.45,837.0,838.3,1413800,776.9689999999999
2010-08-03,841.0,844.5,828.55,832.05,640700,771.176
2010-08-04,836.0,872.0,835.85,868.8,2791900,805.238
2010-08-05,872.0,882.4,865.65,877.85,1456400,813.6260000000001
2010-08-06,880.0,883.5,860.65,864.7,1218800,801.438
2010-08-09,861.15,883.7,846.1,879.85,2129900,815.4789999999999
2010-08-10,885.0,885.0,861.4,864.5,772500,801.252
2010-08-11,862.0,873.0,854.8,858.15,2010100,795.367
2010-08-12,856.9,856.9,846.2,853.45,1139000,791.0110000000001
2010-08-13,857.0,862.9,838.0,854.4,1294900,791.8910000000001
2010-08-16,857.0,862.55,848.8,854.1,659500,791.613
2010-08-17,850.1,861.0,844.0,850.2,866500,787.9989999999999
2010-08-18,853.0,875.8,850.0,871.1,1444400,807.3689999999999
2010-08-19,874.0,880.9,867.3,872.05,1074200,808.25
2010-08-20,869.0,879.9,863.0,868.95,873100,805.377
2010-08-23,860.0,875.45,857.05,870.4,524900,806.721
2010-08-24,870.0,881.9,865.0,870.7,1325200,806.9989999999999
2010-08-25,872.0,881.5,866.3,871.2,1189900,807.462
2010-08-26,874.0,879.0,860.25,876.5,2102200,812.3739999999999
2010-08-27,872.1,873.0,851.0,856.05,638200,793.421
2010-08-30,862.8,862.8,840.1,845.65,779200,783.7810000000001
2010-08-31,840.0,847.7,830.2,843.75,1223900,782.02
2010-09-01,842.0,861.0,840.0,858.4,1372700,795.5989999999999
2010-09-02,867.5,867.5,841.5,844.1,1379400,782.345
2010-09-03,850.0,851.5,835.1,837.3,1388900,776.0419999999999
2010-09-06,838.0,857.5,838.0,855.35,1143900,792.7719999999999
2010-09-07,858.0,874.9,856.0,871.35,1242100,807.6010000000001
2010-09-08,864.0,882.9,858.9,879.05,2094700,814.738
2010-09-09,882.0,882.5,871.35,874.7,1469000,810.706
2010-09-10,876.0,876.0,876.0,876.0,0,811.9110000000001
2010-09-13,871.35,889.0,870.7,879.75,1174700,815.387
2010-09-14,883.0,899.0,880.3,895.35,1535500,829.845
2010-09-15,900.0,919.4,899.0,914.8,2780100,847.872
2010-09-16,908.0,913.45,864.5,895.4,1167100,829.8919999999999
2010-09-17,900.1,918.75,900.1,913.8,1503900,846.946
2010-09-20,917.0,921.9,906.7,912.25,1209500,845.5089999999999
2010-09-21,912.0,958.0,910.3,953.95,2498500,884.158
2010-09-22,956.0,960.0,930.0,935.25,2015500,866.826
2010-09-23,940.0,945.3,927.8,931.35,1663600,863.212
2010-09-24,933.1,937.9,925.0,931.95,1369300,863.768
2010-09-27,935.0,941.45,922.0,927.6,1711600,859.7360000000001
2010-09-28,925.25,930.3,914.1,919.65,1260800,852.368
2010-09-29,925.0,937.25,914.9,920.35,1685000,853.0160000000001
2010-09-30,925.0,930.0,915.15,926.95,3780400,859.133
2010-10-01,927.0,966.0,922.0,961.6,1663000,891.248
2010-10-04,966.75,975.0,953.0,955.8,1070400,885.873
2010-10-05,950.0,965.95,946.15,950.25,1105800,880.7289999999999
2010-10-06,950.0,967.9,950.0,959.65,919400,889.441
2010-10-07,960.0,966.0,938.4,948.8,986400,879.385
2010-10-08,944.05,954.7,869.0,942.6,1347900,873.638
2010-10-11,942.6,953.95,929.05,940.9,1532600,872.063
2010-10-12,942.65,955.8,939.1,950.7,1304400,881.1460000000001
2010-10-13,955.95,997.7,949.1,992.85,2675300,920.212
2010-10-14,996.9,1004.0,982.35,986.05,1474500,913.91
2010-10-15,999.0,1011.0,945.0,950.3,2858800,880.775
2010-10-18,970.0,984.0,930.0,981.25,2240300,909.461
2010-10-19,982.0,987.4,964.1,967.75,1100400,896.948
2010-10-20,964.5,980.5,956.2,963.25,1103300,892.778
2010-10-21,974.05,993.85,970.0,986.2,1876100,914.049
2010-10-22,1022.0,1049.4,1022.0,1040.2,4805200,964.0980000000001
2010-10-25,1043.0,1072.95,1037.2,1066.95,2578100,988.8910000000001
2010-10-26,1063.5,1067.75,1041.55,1062.6,1753500,984.8589999999999
2010-10-27,1060.0,1066.8,1043.55,1048.2,1070600,971.513
2010-10-28,1050.0,1067.55,1040.0,1052.9,2627800,975.8689999999999
2010-10-29,1060.0,1060.0,1031.0,1052.9,1106100,975.8689999999999
2010-11-01,1052.05,1066.4,1049.1,1053.4,573900,978.19
2010-11-02,1055.0,1060.0,1043.7,1049.45,782800,974.5219999999999
2010-11-03,1050.9,1079.0,1048.4,1052.8,1108900,977.633
2010-11-04,1062.0,1078.6,1061.5,1069.15,858700,992.816
2010-11-05,1082.9,1083.9,1075.35,1078.4,179400,1001.405
2010-11-08,1080.0,1082.4,1062.1,1068.15,1124200,991.887
2010-11-09,1073.9,1098.7,1068.5,1091.1,1752000,1013.199
2010-11-10,1092.25,1108.0,1086.1,1092.3,770100,1014.313
2010-11-11,1090.0,1090.0,1058.25,1064.75,963000,988.73
2010-11-12,1060.0,1069.9,1048.2,1055.9,901100,980.512
2010-11-15,1065.0,1079.85,1053.0,1066.0,694600,989.8910000000001
2010-11-16,1066.0,1066.4,1042.2,1048.9,1089000,974.012
2010-11-17,1052.0,1052.0,1052.0,1052.0,0,976.89
2010-11-18,1072.0,1072.0,1040.0,1042.8,1382500,968.347
2010-11-19,1044.9,1049.0,1006.0,1015.4,1086300,942.904
2010-11-22,1016.0,1043.0,1011.5,1039.1,1110600,964.9110000000001
2010-11-23,1034.0,1045.0,1012.4,1030.05,842200,956.508
2010-11-24,1025.0,1034.5,998.95,1004.75,1504300,933.0139999999999
2010-11-25,1010.05,1041.9,1007.1,1021.8,2927500,948.847
2010-11-26,1025.0,1054.0,1025.0,1047.25,1808900,972.4789999999999
2010-11-29,1055.0,1078.5,1050.25,1071.3,2259400,994.812
2010-11-30,1060.5,1086.05,1053.1,1076.0,2404200,999.177
2010-12-01,1064.0,1093.2,1064.0,1081.9,1888000,1004.6560000000001
2010-12-02,1091.0,1099.2,1075.05,1095.8,2047800,1017.563
2010-12-03,1093.05,1113.0,1091.15,1097.35,1015000,1019.002
2010-12-06,1100.0,1110.0,1095.3,1101.7,965400,1023.0419999999999
2010-12-07,1100.0,1100.0,1082.1,1087.5,1079100,1009.8560000000001
2010-12-08,1090.95,1092.95,1071.25,1079.15,992000,1002.102
2010-12-09,1083.7,1097.3,1068.1,1072.6,1289900,996.02
2010-12-10,1067.0,1083.85,1057.0,1074.9,1122800,998.155
2010-12-13,1071.0,1080.7,1048.4,1076.1,1057500,999.27
2010-12-14,1073.2,1089.6,1064.15,1080.95,1307600,1003.773
2010-12-15,1085.1,1108.4,1081.5,1103.65,1286000,1024.853
2010-12-16,1109.0,1144.0,1104.15,1140.7,2257800,1059.257
2010-12-17,1143.0,1143.0,1143.0,1143.0,0,1061.393
2010-12-20,1134.8,1177.0,1114.85,1166.7,2257000,1083.401
2010-12-21,1169.0,1172.25,1154.0,1160.8,1405300,1077.922
2010-12-22,1167.0,1169.0,1137.75,1149.75,1593400,1067.661
2010-12-23,1150.0,1159.55,1132.1,1140.0,1425400,1058.607
2010-12-24,1134.0,1148.8,1125.75,1141.1,812300,1059.629
2010-12-27,1145.0,1159.45,1138.2,1141.2,832400,1059.722
2010-12-28,1141.2,1150.9,1140.05,1146.35,506400,1064.504
2010-12-29,1149.0,1162.0,1147.05,1156.95,521100,1074.347
2010-12-30,1152.5,1174.8,1152.5,1170.2,1922700,1086.651
2010-12-31,1172.5,1180.0,1161.8,1165.65,766400,1082.4260000000002
2011-01-03,1167.0,1176.95,1154.55,1158.05,702500,1075.369
2011-01-04,1163.9,1166.15,1138.1,1144.75,1251400,1063.018
2011-01-05,1145.25,1165.9,1141.75,1158.95,1534800,1076.204
2011-01-06,1168.0,1182.0,1153.1,1171.7,1423300,1088.0439999999999
2011-01-07,1176.0,1186.85,1138.15,1142.65,1266300,1061.068
2011-01-10,1147.5,1149.0,1121.0,1130.9,1976200,1050.157
