Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2567.0,2567.0,2541.0,2545.55,183400,2506.201
2015-01-02,2551.0,2590.95,2550.6,2579.45,462800,2539.577
2015-01-05,2581.0,2599.9,2524.65,2540.25,877100,2500.9829999999997
2015-01-06,2529.1,2529.1,2440.0,2446.6,1211800,2408.781
2015-01-07,2470.0,2479.15,2407.45,2417.7,1318100,2380.327
2015-01-08,2442.4,2449.0,2420.55,2443.8,782700,2406.024
2015-01-09,2455.0,2519.9,2450.0,2512.3,1598800,2473.465
2015-01-12,2517.0,2528.0,2480.25,2509.7,798000,2470.905
2015-01-13,2520.0,2530.4,2480.1,2497.9,734200,2459.2870000000003
2015-01-14,2516.0,2531.8,2500.5,2521.95,893500,2482.966
2015-01-15,2533.0,2581.75,2523.25,2539.1,2504900,2499.851
2015-01-16,2543.7,2545.0,2484.3,2532.15,2646900,2493.008
2015-01-19,2536.0,2551.0,2503.0,2511.0,567500,2472.185
2015-01-20,2520.0,2530.0,2483.25,2500.45,1029200,2461.798
2015-01-21,2522.0,2522.0,2488.25,2513.8,1155200,2474.942
2015-01-22,2516.5,2521.25,2495.5,2513.55,1056600,2474.696
2015-01-23,2514.0,2532.05,2496.1,2503.6,1575100,2464.899
2015-01-26,2503.6,2503.6,2503.6,2503.6,0,2464.899
2015-01-27,2512.35,2515.0,2489.55,2502.05,1369300,2468.303
2015-01-28,2503.0,2544.9,2502.9,2539.6,1560900,2505.347
2015-01-29,2538.0,2568.7,2512.9,2544.65,1867100,2510.328
2015-01-30,2560.7,2575.0,2470.0,2482.05,2908700,2448.573
2015-02-02,2482.0,2521.45,2462.05,2514.2,1590900,2480.2889999999998
2015-02-03,2511.65,2565.0,2507.1,2558.25,1172500,2523.745
2015-02-04,2568.0,2571.7,2502.1,2514.3,1122700,2480.388
2015-02-05,2520.0,2591.7,2519.0,2552.4,2265000,2517.974
2015-02-06,2553.0,2594.8,2550.85,2575.75,1068200,2541.009
